,Unnamed: 0,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
44,44,12 Banfield Street," 495,000 ", Dec 2019,0, ,, ,, 630 ,,0,0,0,Bell Park
45,45,2/4 Levoca Court," 436,000 ", Dec 2019,0, ,, ,, ,,0,0,0,Bell Park
46,46,1/28 Almana Street," 416,000 ", Nov 2019,0," 220,000 ", Nov 2017, ,, 337 ,,0,0,0,Bell Park
47,47,2/34 Roma Street," 370,000 ", Oct 2019,0," 315,000 ", May 2017, ,, 151 ,,0,0,0,Bell Park
48,48,181 Separation Street," 410,000 ", Oct 2019,0, ,, ,, 631 ,,3,1,0,Bell Park
49,49,20 Libau Avenue," 490,000 ", Oct 2019,0," 68,000 ", Apr 1987, ,, 758 ,,3,1,1,Bell Park
50,50,15 Furner Avenue," 455,000 ", Oct 2019,0, ,, ,, 662 ,,0,0,0,Bell Park
51,51,59 Shannahan Drive," 500,000 ", Oct 2019,0," 124,000 ", Jun 2008, ,, 545 ,,3,2,4,Bell Park
52,52,2/23 Maple Crescent," 405,000 ", Oct 2019,0," 280,000 ", Jul 2014, ,, 651  ,98.0,0,0,0,Bell Park
53,53,32 Tallinn Street," 520,000 ", Sep 2019,0, ,, 350 , Nov 2019, 704 ,,3,1,1,Bell Park
54,54,52-54 Furner Avenue," 540,000 ", Sep 2019,0," 157,500 ", Jun 2016, ,, 654 ,,0,0,0,Bell Park
55,55,3/3-5 Elsie Street," 395,000 ", Sep 2019,0," 220,000 ", Jun 2007, ,, 274  ,125.0,0,0,0,Bell Park
56,56,162 Anakie Road," 437,500 ", Sep 2019,0," 394,000 ", Jul 2017, ,, 554 ,,3,1,2,Bell Park
57,57,142 Anakie Road," 350,000 ", Sep 2019,0," 76,000 ", Jan 1998, ,, 552 ,,3,1,1,Bell Park
58,58,54 Furner Avenue," 540,000 ", Sep 2019,0," 157,500 ", Jun 2016, ,, 338 ,,0,0,0,Bell Park
59,59,2/13 Roma Street," 500,000 ", Sep 2019,0, ,, ,, ,,0,0,0,Bell Park
60,60,8 Jasmine Street," 480,000 ", Sep 2019,0, ,, 350 , Nov 2019, 767 ,,3,1,2,Bell Park
61,61,50 Furner Avenue," 530,500 ", Sep 2019,0," 405,000 ", Nov 2015, ,, 449  ,139.0,4,2,2,Bell Park
62,62,48 Bruce Street," 471,500 ", Sep 2019,0, ,, ,, 342 ,,3,1,4,Bell Park
63,63,9 Curtin Street," 475,555 ", Aug 2019,0, ,, ,, 676 ,,3,1,2,Bell Park
64,64,37A Yaraan Street," 530,000 ", Aug 2019,0, ,, ,, 287 ,,3,2,2,Bell Park
65,65,3 Castle Court," 510,000 ", Aug 2019,0," 160,000 ", Feb 2000, ,, 778  ,94.0,3,1,14,Bell Park
66,66,1 Milan Street," 400,000 ", Aug 2019,0," 345,000 ", Oct 2016, ,, 228 ,,2,1,1,Bell Park
67,67,2/38 Yaraan Street," 370,000 ", Aug 2019,0," 260,000 ", Apr 2008, ,, 224 ,,2,1,1,Bell Park
68,68,30 Ashleigh Crescent," 490,000 ", Aug 2019,0," 287,000 ", Jun 2009, ,, 534  ,139.0,3,1,5,Bell Park
69,69,9-11 Ralph Court," 526,000 ", Aug 2019,0, ,, ,, 547 ,,3,2,2,Bell Park
70,70,18 Curtin Street," 500,000 ", 10 Aug 2019,1, ,, ,, 676 ,,3,1,4,Bell Park
71,71,47 Libau Avenue," 455,000 ", Aug 2019,0," 270,000 ", Oct 2011, ,, 692 ,,3,1,6,Bell Park
72,72,70 Mcclelland Street," 578,000 ", Jul 2019,0," 175,000 ", Sep 2001, ,, 610 ,,4,2,4,Bell Park
73,73,2/3 Alcona Court," 585,000 ", Jul 2019,0," 215,000 ", Jun 2008, ,, 305  ,228.0,5,2,3,Bell Park
74,74,26 Malcolm Street," 420,000 ", 20 Jul 2019,1, ,, ,, 617 ,,2,1,3,Bell Park
75,75,4 Banfield Street," 445,000 ", Jul 2019,0," 250,001 ", May 2012, ,, 630  ,117.0,3,1,1,Bell Park
76,76,22 Maple Crescent," 517,000 ", Jul 2019,0," 355,000 ", Oct 2012, ,, 651  ,126.0,3,1,1,Bell Park
77,77,70 Nanworen Crescent," 435,000 ", Jul 2019,0," 223,000 ", Mar 2006, ,, 559  ,100.0,3,1,2,Bell Park
78,78,4A Tallinn Street," 365,000 ", Jul 2019,0, ,, 360 , Apr 2019, 237 ,,2,1,1,Bell Park
79,79,1/17 Hughes Street," 487,500 ", Jul 2019,0, ,, 420 , Jul 2019, 351 ,,3,2,1,Bell Park
80,80,1/6 Karlovac Court," 340,000 ", Jul 2019,0, ,, 330 , Nov 2019, 309 ,,0,0,0,Bell Park
81,81,2/5 Alvena Court," 356,000 ", Jun 2019,0," 220,000 ", Jan 2004, ,, 216 ,,0,0,0,Bell Park
82,82,45 Libau Avenue," 518,000 ", Jun 2019,0," 74,000 ", Apr 1991, ,, 646 ,,3,2,4,Bell Park
83,83,2/4 Karlovac Court," 380,000 ", Jun 2019,0," 363,000 ", Apr 2018, ,, 203 ,,0,0,0,Bell Park
84,84,9a Elsie Street," 490,000 ", Jun 2019,0, ,, 380 , Aug 2015, 294 ,,3,2,2,Bell Park
85,85,16 Nicholson Crescent," 485,000 ", Jun 2019,0," 98,000 ", Oct 1988, ,, 544 ,,3,2,2,Bell Park
86,86,25 Libau Avenue," 495,000 ", Jun 2019,0," 310,000 ", Mar 2013, ,, 630  ,117.0,3,1,5,Bell Park
87,87,6 Yaraan Street," 462,000 ", Jun 2019,0," 280,000 ", Mar 2011, ,, 630 ,,4,2,4,Bell Park
88,88,1/252 Anakie Road," 265,000 ", May 2019,0," 245,000 ", Nov 2015, ,, 137  ,77.0,2,1,1,Bell Park
89,89,2/17 Hughes Street," 490,000 ", May 2019,0, ,, ,, 240 ,,3,2,2,Bell Park
90,90,29 Nicholson Crescent," 482,000 ", May 2019,0, ,, ,, 735 ,,4,2,2,Bell Park
91,91,3/3 Karlovac Court," 420,000 ", 04 May 2019,1," 325,000 ", Jun 2016, ,, 951  ,148.0,3,2,2,Bell Park
92,92,7 Dural Court," 487,500 ", 04 May 2019,1," 101,500 ", Jun 1989, ,, 745 ,,3,1,2,Bell Park
93,93,11 Ozone Crescent," 405,000 ", Apr 2019,0, ,, 310 , Aug 2018, 648 ,,3,1,1,Bell Park
94,94,33 Barton Street," 435,000 ", Apr 2019,0, ,, 350 , Oct 2019, 650 ,,3,1,5,Bell Park
95,95,26 Deakin Street," 610,000 ", Apr 2019,0," 409,000 ", Mar 2011, ,, 650 ,,4,2,3,Bell Park
96,96,111 Ballarat Road," 390,000 ", 24 Apr 2019,1," 255,000 ", Oct 2013, ,, 433  ,135.0,2,1,1,Bell Park
97,97,44 Curtin Street," 415,000 ", Apr 2019,0," 195,000 ", Jun 2005, ,, 650  ,102.0,3,1,1,Bell Park
98,98,112 McClelland Street," 521,000 ", Apr 2019,0, ,, ,, 223 ,,3,2,1,Bell Park
99,99,47 Hedgeley Road," 500,000 ", Apr 2019,0," 125,000 ", Dec 2005, ,, 447 ,,3,2,2,Bell Park
100,100,1 Libau Avenue," 500,500 ", Apr 2019,0, ,, 440 , Apr 2019, 257 ,,3,2,2,Bell Park
101,101,51 Deakin Street," 420,000 ", Mar 2019,0," 203,800 ", Aug 2007, ,, 660 ,,3,1,1,Bell Park
102,102,1/20 Vistula Avenue," 334,000 ", Mar 2019,0," 285,000 ", Aug 2015, ,, 408 ,,0,0,0,Bell Park
103,103,6 Vistula Avenue," 447,000 ", 23 Mar 2019,1, ,, 300 , Sep 2019, 649 ,,3,1,3,Bell Park
104,104,23 Furner Avenue," 510,000 ", Mar 2019,0," 250,000 ", Mar 2008, ,, 668 ,,7,2,2,Bell Park
105,105,7 McClelland Street," 455,000 ", Mar 2019,0," 354,000 ", May 2016, ,, 640  ,135.0,3,1,2,Bell Park
106,106,51 McClelland Street," 438,000 ", Feb 2019,0," 342,500 ", Jan 2012, ,, 326 ,,3,1,4,Bell Park
107,107,36 Alicia Street," 355,500 ", Feb 2019,0," 160,000 ", Jul 2004, ,, 604  ,96.0,3,1,1,Bell Park
108,108,1/41-43 Malcolm Street," 400,000 ", Feb 2019,0, ,, 300 , Jul 2014, 304 ,,0,0,0,Bell Park
109,109,44 Bruce Street," 510,000 ", Feb 2019,0," 127,000 ", Apr 2001, ,, 650 ,,4,1,5,Bell Park
110,110,6a Milton Street," 360,000 ", Feb 2019,0, ,, ,, 295 ,,0,0,0,Bell Park
111,111,3/41-43 Malcolm Street," 440,000 ", Feb 2019,0, ,, 310 , Jul 2016, 254 ,,0,0,0,Bell Park
112,112,8 Ozone Crescent," 495,000 ", Jan 2019,0," 215,000 ", Jul 2003, ,, 645 ,,4,2,4,Bell Park
113,113,2/23 Bruce Street," 486,000 ", Jan 2019,0, ,, 420 , Jun 2018, 257 ,,3,2,2,Bell Park
114,114,3/48 Shannahan Drive," 410,000 ", Jan 2019,0," 317,000 ", Jan 2017, ,, 225 ,,0,0,0,Bell Park
115,115,21 Kaunas Street," 530,000 ", Jan 2019,0," 225,000 ", May 2005, ,, 604  ,165.0,4,1,5,Bell Park
116,116,5 Thorburn Street," 428,000 ", Jan 2019,0," 280,000 ", Jan 2011, ,, 400 ,,3,1,1,Bell Park
117,117,1-3 Nandina Close," 700,000 ", Dec 2018,0, ,, ,, 664 ,,4,2,6,Bell Park
118,118,1/1 Blyth Street," 418,100 ", Dec 2018,0," 104,000 ", Sep 1994, ,, 325 ,,0,0,0,Bell Park
119,119,2/53 Deakin Street," 430,000 ", Dec 2018,0, ,, ,, 231 ,,0,0,0,Bell Park
120,120,35 Maple Crescent," 418,000 ", Dec 2018,0, ,, ,, 702 ,,4,1,1,Bell Park
121,121,13 Prestige Avenue," 705,000 ", Dec 2018,0," 94,800 ", Nov 2002, ,, 616 ,,4,2,2,Bell Park
122,122,1/207 Separation Street," 475,000 ", Dec 2018,0, ,, ,, 277 ,,3,2,2,Bell Park
123,123,2/40 Elsie Street," 472,000 ", Nov 2018,0," 240,000 ", Jul 2010, ,, 331 ,,0,0,0,Bell Park
124,124,29 Banfiled Street," 515,000 ", Nov 2018,0, ,, ,, ,,0,0,0,Bell Park
125,125,29 Banfield Street," 515,000 ", 24 Nov 2018,1, ,, 300 , Jan 2019, 665 ,,3,1,1,Bell Park
126,126,1/40 Deakin Street," 365,000 ", Nov 2018,0, ,, ,, 261 ,,2,1,1,Bell Park
127,127,2/40 Thorburn Street," 370,000 ", Nov 2018,0," 326,500 ", Jul 2017, ,, 209  ,115.0,2,1,2,Bell Park
128,128,152 Anakie Road," 432,000 ", Nov 2018,0," 345,000 ", Aug 2015, ,, 556  ,111.0,3,1,1,Bell Park
129,129,44 Alicia Street," 504,000 ", Nov 2018,0," 213,000 ", Jul 2008, ,, 604  ,133.0,3,1,4,Bell Park
130,130,6 Nandina Close," 520,000 ", Nov 2018,0," 355,000 ", Apr 2007, ,, 554  ,145.0,3,2,2,Bell Park
131,131,29 Bandfield Street," 515,000 ", Nov 2018,0, ,, ,, ,,0,0,0,Bell Park
132,132,2A Alder Crescent," 320,000 ", Oct 2018,0, ,, ,, 299 ,,2,1,1,Bell Park
133,133,2/19 Tallinn Street," 460,000 ", Oct 2018,0," 320,000 ", Dec 2009, ,, 335 ,,3,2,2,Bell Park
134,134,4 Jasmine Street," 442,000 ", Oct 2018,0," 80,500 ", Jan 2001, ,, 596 ,,2,1,4,Bell Park
135,135,10 Bruce Street," 492,500 ", Oct 2018,0," 370,000 ", Mar 2017, ,, 690 ,,3,1,3,Bell Park
136,136,2/104 Anakie Road," 256,500 ", Oct 2018,0, ,, ,, 210 ,,1,1,1,Bell Park
137,137,29 Malinda Crescent," 481,500 ", Oct 2018,0," 368,000 ", Feb 2016, ,, 652  ,109.0,3,2,8,Bell Park
138,138,27 Vistula Avenue," 466,000 ", Oct 2018,0, ,, ,, 604 ,,3,1,2,Bell Park
139,139,2/25 Maple Crescent," 420,000 ", Oct 2018,0," 308,000 ", May 2015, ,, 225 ,,0,0,0,Bell Park
140,140,167 Thompson Road," 482,000 ", Sep 2018,0," 226,000 ", Jun 2008, ,, 700  ,185.0,4,1,3,Bell Park
141,141,8 Amaroo Court," 423,000 ", Sep 2018,0," 300,000 ", Jul 2014, ,, 656 ,,3,1,5,Bell Park
142,142,17 Jabone Terrace," 507,500 ", 15 Sep 2018,1, ,, ,, 641 ,,4,1,2,Bell Park
143,143,27 Ozone Crescent," 590,000 ", Sep 2018,0, ,, ,, 647 ,,4,2,2,Bell Park
144,144,25 Tallinn Street," 495,000 ", Sep 2018,0," 70,000 ", Oct 2002, ,, 623 ,,4,1,2,Bell Park
145,145,73 Malinda Crescent," 255,000 ", Sep 2018,0," 175,000 ", Dec 2011, ,, 545 ,,0,0,0,Bell Park
146,146,37 Elsie Street," 430,000 ", 08 Sep 2018,1, ,, ,, 617 ,,3,1,4,Bell Park
147,147,1/86 Anakie Road," 425,000 ", Sep 2018,0," 116,000 ", Dec 2009, ,, 318 ,,3,2,2,Bell Park
148,148,1/19 Ozone Crescent," 367,000 ", Sep 2018,0," 59,000 ", Oct 1986, ,, 242 ,,0,0,0,Bell Park
149,149,11 Bellavista Road," 705,000 ", Sep 2018,0," 400,000 ", Jul 2007, ,, 666 ,,4,2,2,Bell Park
150,150,2/8 Hughes Street," 435,000 ", Aug 2018,0, ,, ,, 164 ,,2,1,1,Bell Park
151,151,52 Hedgeley Road," 700,000 ", 25 Aug 2018,1," 175,000 ", Nov 2005, ,, 756  ,7014.0,4,2,6,Bell Park
152,152,2/69 Malinda Crescent," 393,000 ", Aug 2018,0," 283,500 ", Jun 2013, ,, 371  ,123.0,2,1,2,Bell Park
153,153,23 Wattlepark Avenue Bell Park 3215," 492,500 ", Aug 2018,0, ,, ,, ,,3,1,6,Bell Park
154,154,23 Wattlepark Avenue," 492,500 ", Aug 2018,0," 115,500 ", Oct 1994, ,, 646 ,,3,0,0,Bell Park
155,155,13 Dena Court," 648,000 ", 04 Aug 2018,1," 510,000 ", May 2015, ,, 540 ,,4,2,2,Bell Park
156,156,60 Anakie Road," 507,500 ", Jul 2018,0," 245,000 ", Nov 2012, ,, 652 ,,3,2,6,Bell Park
157,157,1/32 Vistula Avenue," 391,000 ", Jul 2018,0," 323,500 ", Aug 2016, ,, 249 ,,0,0,0,Bell Park
158,158,92/28-36 Barton Street," 365,000 ", Jul 2018,0, ,, ,, ,,0,0,0,Bell Park
159,159,7 Narebar Street," 415,500 ", Jul 2018,0," 266,000 ", Feb 2010, ,, 255  ,113.0,3,2,2,Bell Park
160,160,161 Separation Street," 436,000 ", Jul 2018,0," 81,000 ", Apr 2001, ,, 640  ,145.0,3,1,2,Bell Park
161,161,58 Thorburn Street," 475,000 ", Jul 2018,0, ,, 360 , Oct 2018, 630 ,,3,1,5,Bell Park
162,162,34 Shannahan Drive," 332,100 ", Jul 2018,0, ,, 245 , Feb 2014, 320 ,,0,0,0,Bell Park
163,163,1/24 Hughes Street," 346,500 ", Jun 2018,0," 290,000 ", Mar 2015, ,, 276  ,105.0,0,0,0,Bell Park
164,164,10 Viola Close," 705,000 ", 23 Jun 2018,1," 135,000 ", Mar 2004, ,, 670  ,240.0,4,2,4,Bell Park
165,165,7 Viola Close," 705,000 ", Jun 2018,0," 577,500 ", Jul 2014, ,, 673  ,253.0,4,2,2,Bell Park
166,166,2 Narebar Street," 401,000 ", Jun 2018,0," 250,000 ", Oct 2008, ,, 614 ,,3,1,2,Bell Park
167,167,6/1 Alcona Court," 150,000 ", Jun 2018,0, ,, ,, 123 ,,0,0,0,Bell Park
168,168,45 Prestige Avenue," 760,000 ", 02 Jun 2018,1," 107,000 ", Mar 2003, ,, 748 ,,3,2,2,Bell Park
169,169,40A Shannahan Drive," 183,000 ", May 2018,0, ,, 395 , Aug 2019, 308 ,,0,0,0,Bell Park
170,170,5/1 Alcona Court," 145,500 ", May 2018,0," 135,000 ", Feb 2017, ,, 109 ,,0,0,0,Bell Park
171,171,4 Nambet Court," 463,000 ", May 2018,0," 88,000 ", Feb 2000, ,, 699 ,,4,2,2,Bell Park
172,172,17 Malcolm Street," 462,000 ", May 2018,0," 290,000 ", Dec 2011, ,, 626  ,131.0,3,2,3,Bell Park
173,173,49 Bruce Street," 400,000 ", May 2018,0," 265,000 ", Nov 2014, ,, 333 ,,3,1,2,Bell Park
174,174,3 Blyth Street," 472,500 ", May 2018,0, ,, ,, 692 ,,3,1,1,Bell Park
175,175,105 Ballarat Road," 450,000 ", Apr 2018,0," 267,000 ", Mar 2012, ,, 697  ,122.0,3,1,1,Bell Park
176,176,1/3 Elsie Street," 421,000 ", Apr 2018,0," 175,000 ", Jun 2001, ,, 243 ,,0,0,0,Bell Park
177,177,2/4 Blyth Street," 435,000 ", Mar 2018,0, ,, 340 , Feb 2016, 233 ,,3,1,2,Bell Park
178,178,34 Blyth Street," 450,000 ", Mar 2018,0, ,, ,, ,,0,0,0,Bell Park
179,179,3/4 Blyth Street," 450,000 ", Mar 2018,0, ,, 380 , Jan 2016, 285 ,,0,0,0,Bell Park
180,180,30 Willow Crescent," 435,000 ", Mar 2018,0, ,, 330 , Oct 2019, 678 ,,4,2,1,Bell Park
181,181,3/211 Separation Street," 363,000 ", Mar 2018,0," 272,000 ", Apr 2013, ,, 251  ,109.0,0,0,0,Bell Park
182,182,3/12 Castle Court," 389,000 ", Mar 2018,0, ,, 350 , May 2016, 249 ,,0,0,0,Bell Park
183,183,2/12 Castle Court," 389,000 ", Mar 2018,0, ,, 370 , May 2016, 197 ,,0,0,0,Bell Park
184,184,Lot 2 38-46 Shannahan Drive," 165,000 ", Mar 2018,0, ,, ,, ,,0,0,0,Bell Park
185,185,10 Roma Street," 485,000 ", Mar 2018,0, ,, ,, 651 ,,3,1,2,Bell Park
186,186,3 Alvena Court," 408,000 ", Mar 2018,0," 269,000 ", Apr 2013, ,, 664  ,120.0,3,1,1,Bell Park
187,187,12 Roma Street," 380,000 ", Mar 2018,0," 271,000 ", Aug 2010, ,, 650  ,80.0,1,1,1,Bell Park
188,188,12 Ashleigh Crescent," 435,000 ", Feb 2018,0," 255,000 ", Oct 2008, ,, 585 ,,3,1,1,Bell Park
189,189,5 Almana Street," 490,000 ", 24 Feb 2018,1," 62,000 ", Dec 1995, ,, 613 ,,3,1,1,Bell Park
190,190,27 Ralph Court," 550,000 ", Feb 2018,0," 127,000 ", Jan 2007, ,, 573 ,,4,2,2,Bell Park
191,191,28 Hedgeley Road," 690,000 ", Feb 2018,0," 130,000 ", Jun 2004, ,, 602 ,,4,2,5,Bell Park
192,192,61 Mcclelland Street," 520,000 ", Feb 2018,0," 392,000 ", Dec 2015, ,, 781 ,,3,1,1,Bell Park
193,193,Lot 5 38-46 Shannahan Drive," 180,000 ", Feb 2018,0, ,, ,, ,,0,0,0,Bell Park
194,194,7 Thorburn Street," 470,000 ", Feb 2018,0," 410,000 ", Mar 2016, ,, 218 ,,3,2,1,Bell Park
195,195,9b McClelland Street," 418,000 ", Jan 2018,0, ,, ,, ,,3,2,2,Bell Park
196,196,2B Alder Crescent," 362,000 ", Jan 2018,0, ,, 370 , Mar 2020, 147 ,,2,1,1,Bell Park
197,197,1/104 Anakie Road," 375,000 ", Jan 2018,0, ,, 320 , Oct 2017, 314 ,,0,0,0,Bell Park
198,198,159 Thompson Road," 365,000 ", Jan 2018,0," 135,000 ", Aug 2011, ,, 466  ,93.0,3,1,1,Bell Park
199,199,69 Hughes Street," 422,000 ", Jan 2018,0," 135,158 ", May 2012, ,, 256 ,,3,2,2,Bell Park
200,200,1/23 Bruce Street," 397,500 ", Jan 2018,0, ,, ,, 292 ,,0,0,0,Bell Park
201,201,16 Willow Crescent," 380,000 ", Jan 2018,0," 205,000 ", Apr 2005, ,, 651 ,,3,1,0,Bell Park
202,202,52 Deakin Street," 435,000 ", Dec 2017,0," 367,000 ", Jun 2016, ,, 650  ,185.0,5,2,1,Bell Park
203,203,1/17 Curtin Street," 305,000 ", Dec 2017,0," 260,000 ", May 2012, ,, 329 ,,3,1,3,Bell Park
204,204,141 Ballarat Road," 405,000 ", Dec 2017,0," 300,000 ", Oct 2013, ,, 329  ,87.0,0,0,0,Bell Park
205,205,63 Libau Avenue," 486,000 ", Dec 2017,0," 320,000 ", Oct 2013, ,, 604  ,126.0,3,1,6,Bell Park
206,206,28 Malcolm Street," 375,000 ", 16 Dec 2017,1, ,, ,, 617 ,,2,1,3,Bell Park
207,207,2/28 Almana Street," 436,000 ", Dec 2017,0, ,, ,, 304 ,,3,2,1,Bell Park
208,208,7 Hillside Court," 427,500 ", Dec 2017,0," 100,000 ", Feb 1999, ,, 646 ,,3,2,2,Bell Park
209,209,10 Dena Court," 650,000 ", Dec 2017,0," 186,000 ", Jun 2009, ,, 569 ,,4,2,4,Bell Park
210,210,A/4A Milan Street," 345,000 ", Dec 2017,0, ,, ,, ,,2,1,1,Bell Park
211,211,138 Separation Street," 365,000 ", Dec 2017,0," 290,000 ", May 2014, ,, 399 ,,3,2,2,Bell Park
212,212,104A McClelland Street," 517,000 ", Nov 2017,0, ,, 420 , Sep 2019, 342 ,,3,2,2,Bell Park
213,213,3 Furner Avenue," 380,000 ", Nov 2017,0," 86,323 ", Jun 2002, ,, 608 ,,0,0,0,Bell Park
214,214,112 Anakie Road," 415,000 ", 18 Nov 2017,1, ,, 360 , Feb 2019, 700 ,,4,1,2,Bell Park
215,215,2/17 Curtin Street," 345,000 ", Nov 2017,0," 310,000 ", May 2015, ,, 206 ,,0,0,0,Bell Park
216,216,3/45 Bruce Street," 330,000 ", Nov 2017,0, ,, ,, ,,2,1,1,Bell Park
217,217,24 Anakie Road," 380,000 ", 10 Nov 2017,1, ,, ,, 606 ,,3,1,1,Bell Park
218,218,100 Anakie Road," 340,500 ", Nov 2017,0," 90,000 ", Jan 2006, ,, 387 ,,2,1,1,Bell Park
219,219,25 Hume Reserve Court," 595,000 ", Nov 2017,0," 450,000 ", Oct 2007, ,, 538 ,,0,0,0,Bell Park
220,220,33A Malcolm Street," 465,000 ", Nov 2017,0, ,, ,, 308 ,,3,2,2,Bell Park
221,221,12 Ozone Crescent," 450,000 ", Oct 2017,0," 210,000 ", Sep 2003, ,, 646 ,,3,2,2,Bell Park
