,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
57,114 Elizabeth Street," 671,000 ", 15 Feb 2020,1, ,, ,, 451 ,,3,0,0,Geelong West
58,7/125 Church Street," 291,000 ", Feb 2020,0," 186,000 ", Jun 2010, 260 , Dec 2018, 121  ,  52 ,0,0,0,Geelong West
59,59 Oconnell Street," 1,600,000 ", Feb 2020,0, ,, ,, 526 ,,0,0,0,Geelong West
60,43 French Street," 657,500 ", 04 Feb 2020,1," 385,000 ", Mar 2014, 370 , Apr 2013, 390  ,  102 ,3,1,2,Geelong West
61,2 Scarlett Street," 641,000 ", 01 Feb 2020,1," 128,000 ", Nov 2000, ,, 476 ,,3,2,0,Geelong West
62,59 O'connell Street," 1,600,000 ", Jan 2020,0," 315,000 ", May 2009, ,, 525 ,,4,0,0,Geelong West
63,3/1-4 Howe Court," 351,500 ", Jan 2020,0," 295,000 ", Jun 2015, ,, 171 ,,0,0,0,Geelong West
64,43 Preston Street," 845,000 ", Jan 2020,0," 412,000 ", Jul 2014, 510 , Nov 2018, 367  ,  130 ,3,1,1,Geelong West
65,116-118 Autumn Street," 1,300,000 ", Jan 2020,0," 708,000 ", Apr 2017, ,, 522 ,,4,3,2,Geelong West
66,192 Hope Street," 660,000 ", Jan 2020,0," 505,000 ", Mar 2015, 300 , Aug 2011, 355  ,  128 ,3,1,2,Geelong West
67,67 Elizabeth Street," 750,000 ", Dec 2019,0," 450,000 ", Aug 2016, 395 , May 2014, 358 ,,4,2,1,Geelong West
68,131B Weller Street," 550,000 ", Dec 2019,0, ,, ,, 380 ,,3,1,1,Geelong West
69,165 Autumn Street," 690,000 ", Dec 2019,0," 472,000 ", Oct 2014, 430 , Oct 2018, 400  ,  126 ,3,1,1,Geelong West
70,49 Wellington Street," 667,000 ", 14 Dec 2019,1, ,, 400 , Mar 2020, 497 ,,3,1,1,Geelong West
71,28 Candover Street," 1,255,000 ", 14 Dec 2019,1," 460,000 ", Apr 2015, 660 , Oct 2017, 444 ,,4,1,1,Geelong West
72,27 Villamanta Street," 650,000 ", 14 Dec 2019,1," 502,000 ", Feb 2014, ,, 376 ,,3,1,2,Geelong West
73,154 Weller Street," 700,000 ", 14 Dec 2019,1," 410,000 ", Sep 2011, ,, 561 ,,3,1,1,Geelong West
74,1/39 Albert Street," 595,000 ", 07 Dec 2019,1," 450,000 ", Jul 2012, 470 , Jan 2020, 234 ,,2,1,1,Geelong West
75,20 Crofton Street," 811,000 ", 07 Dec 2019,1," 575,000 ", Aug 2016, ,, 390 ,,3,1,1,Geelong West
76,85 Elizabeth Street," 775,000 ", Dec 2019,0," 86,500 ", Oct 1996, ,, 642 ,,3,1,2,Geelong West
77,Lot 3/82 Elizabeth Street," 700,000 ", Nov 2019,0, ,, ,, ,,0,0,0,Geelong West
78,7 Pineville Avenue," 807,500 ", Nov 2019,0," 672,000 ", Oct 2016, 375 , Jun 2015, 621  ,  615 ,2,1,1,Geelong West
79,3 St James Street," 720,000 ", Nov 2019,0," 570,000 ", Aug 2015, 440 , Nov 2018, 284 ,,3,1,2,Geelong West
80,26 Weller Street," 950,000 ", Nov 2019,0," 370,000 ", Jul 2014, 300 , May 2014, 313 ,,4,1,2,Geelong West
81,3 Picton Street," 595,000 ", Nov 2019,0," 421,000 ", Aug 2011, 310 , Feb 2016, 333  ,  117 ,3,1,3,Geelong West
82,5/40 Clonard Avenue," 305,000 ", Nov 2019,0," 201,500 ", May 2013, 225 , May 2015, 161 ,,0,0,0,Geelong West
83,59 Albert Street," 1,200,000 ", Nov 2019,0," 601,100 ", Apr 2009, 720 , Dec 2018, 654  ,  186 ,4,2,2,Geelong West
84,1/28 Isabella Street," 570,000 ", Nov 2019,0," 415,000 ", Jun 2015, ,, 463 ,,0,0,0,Geelong West
85,2/43 Wellington Street," 840,500 ", 02 Nov 2019,1," 447,540 ", Oct 2007, ,, 201  ,  153 ,3,3,2,Geelong West
86,2/108 Gertrude Street," 395,000 ", 02 Nov 2019,1," 150,000 ", May 2009, 205 , Mar 2016, 163 ,,0,0,0,Geelong West
87,126 Elizabeth Street," 700,000 ", Nov 2019,0," 402,000 ", Nov 2011, 490 , Jan 2020, 468  ,  132 ,4,1,2,Geelong West
88,15 Maitland Street," 605,000 ", Nov 2019,0," 289,000 ", Apr 2005, 300 , Feb 2017, 332 ,,3,1,2,Geelong West
89,92 Waratah Street," 640,000 ", Oct 2019,0," 277,000 ", Jul 2010, 360 , Apr 2012, 248  ,  103 ,3,1,1,Geelong West
90,3/20 McDougall Street," 272,000 ", Oct 2019,0, ,, 280 , Sep 2016, 577 ,,0,0,0,Geelong West
91,3 Anglesea Terrace," 520,000 ", 26 Oct 2019,1," 82,000 ", May 1998, ,, 323 ,,2,2,2,Geelong West
92,199a Autumn Street," 530,000 ", Oct 2019,0, ,, ,, ,,0,0,0,Geelong West
93,35 Weller Street," 520,000 ", 24 Oct 2019,1," 400,000 ", Jan 2015, 420 , Nov 2018, 216  ,  108 ,3,2,1,Geelong West
94,66 Isabella Street," 690,000 ", Oct 2019,0," 275,000 ", Feb 2008, 500 , Nov 2017, 265  ,  127 ,3,1,2,Geelong West
95,59 Yuille Street," 637,500 ", Oct 2019,0, ,, ,, 352 ,,0,0,0,Geelong West
96,3/131-133 Church Street," 380,000 ", Sep 2019,0," 290,000 ", Aug 2010, 295 , Jan 2016," 1,120 ",,0,0,0,Geelong West
97,2/32 Lawton Avenue," 505,000 ", Sep 2019,0," 349,000 ", Oct 2016, 350 , Aug 2018, 102 ,,0,0,0,Geelong West
98,130 Isabella Street," 556,000 ", 21 Sep 2019,1, ,, ,, 528 ,,3,1,1,Geelong West
99,36 Avon Street," 740,000 ", Sep 2019,0," 61,000 ", Jun 1989, 280 , Nov 2009, 359 ,,2,1,2,Geelong West
100,74 Britannia Street," 686,000 ", Sep 2019,0," 280,000 ", Mar 2007, 330 , Sep 2016, 722 ,,3,1,1,Geelong West
101,42 Collins Street," 705,000 ", Sep 2019,0," 510,000 ", Dec 2017, 600 , Nov 2019, 301 ,,4,2,0,Geelong West
102,9 Gertrude Street," 1,170,500 ", Sep 2019,0," 750,000 ", Jun 2010, ,, 549 ,,5,2,1,Geelong West
103,71 Gertrude Street," 625,000 ", Sep 2019,0," 155,500 ", May 2000, 325 , Sep 2014, 306 ,,3,1,2,Geelong West
104,3/131 Church Street," 380,000 ", Sep 2019,0," 290,000 ", Aug 2010, 300 , Dec 2010," 1,120 ",,0,0,0,Geelong West
105,23 Wellington Street," 1,050,000 ", Sep 2019,0," 175,000 ", Dec 2013, ,, 587 ,,3,1,2,Geelong West
106,4/45 Collins Street," 385,000 ", Aug 2019,0," 342,500 ", Jul 2018, 250 , Apr 2016, 101  ,  90 ,2,1,1,Geelong West
107,15 Catherine Street," 585,000 ", Aug 2019,0," 408,000 ", Jun 2012, 450 , Sep 2019, 274  ,  90 ,2,1,0,Geelong West
108,34 Aberdeen Street," 710,000 ", Aug 2019,0," 520,000 ", Mar 2012, ,, 184 ,,3,2,2,Geelong West
109,17 Crofton Street," 855,000 ", Aug 2019,0," 365,000 ", Mar 2013, ,, 409 ,,3,2,0,Geelong West
110,40 Elizabeth Street," 815,000 ", Aug 2019,0," 735,000 ", Aug 2013, ,, 625 ,,4,3,1,Geelong West
111,50 Trigg Street," 942,000 ", 17 Aug 2019,1," 200,000 ", Nov 2006, 670 , Oct 2019, 551  ,  32 ,4,2,2,Geelong West
112,69 Clarence Street," 1,250,000 ", Aug 2019,0," 342,000 ", Jun 2003, 650 , Nov 2016, 528  ,  170 ,4,2,2,Geelong West
113,29 Trigg Street," 500,000 ", Aug 2019,0," 82,000 ", Jun 1999, ,, 301 ,,3,1,1,Geelong West
114,2/82 Elizabeth Street," 735,000 ", Aug 2019,0, ,, ,, 164 ,,3,2,2,Geelong West
115,1 Hector Street," 620,000 ", Aug 2019,0," 496,600 ", Nov 2016, 375 , Jun 2019, 300 ,,3,1,1,Geelong West
116,10 Coronation Street," 630,000 ", Jul 2019,0," 475,000 ", Feb 2016, ,, 111  ,  132 ,3,1,1,Geelong West
117,248 Latrobe Terrace," 1,600,000 ", Jul 2019,0," 1,040,000 ", Dec 2009," 7,064 ", Dec 2008," 1,195 ",,8,2,15,Geelong West
118,1/14 McNichol Street," 742,500 ", Jul 2019,0, ,, ,, ,,3,2,2,Geelong West
119,10 Stanhope Street," 440,000 ", Jul 2019,0," 315,000 ", Jun 2013, 340 , Jun 2018, 177  ,  86 ,2,1,1,Geelong West
120,13 Waterloo Street," 585,000 ", 06 Jul 2019,1," 237,000 ", Mar 2004, 325 , Jun 2014, 321 ,,3,1,2,Geelong West
121,26 Maitland Street," 721,600 ", Jul 2019,0, ,, ,, 574 ,,3,1,1,Geelong West
122,31 Coquette Street," 817,500 ", 29 Jun 2019,1," 515,000 ", Aug 2011, 500 , Jul 2019, 282  ,  183 ,3,3,1,Geelong West
123,13 O'Connell Street," 550,000 ", Jun 2019,0, ,, ,, ,,3,1,1,Geelong West
124,97 Church Street," 590,000 ", Jun 2019,0," 365,000 ", Sep 2010, ,, 454  ,  128 ,3,1,0,Geelong West
125,6 Lupton Street," 635,000 ", 15 Jun 2019,1, ,, ,, 384 ,,3,1,1,Geelong West
126,3/14 Ann Street," 260,000 ", Jun 2019,0," 142,500 ", Oct 2009, 295 , Jun 2019, 47 ,,0,0,0,Geelong West
127,240 Shannon Avenue," 490,000 ", Jun 2019,0," 320,000 ", Aug 2014, 320 , Sep 2019, 468 ,,2,1,0,Geelong West
128,7 Addis Street," 653,000 ", Jun 2019,0," 148,000 ", Sep 2001, 350 , Oct 2019, 671 ,,2,1,1,Geelong West
129,4 Pizer Street," 615,000 ", Jun 2019,0," 168,000 ", May 2001, 300 , Mar 2014, 283 ,,3,1,1,Geelong West
130,69 Waratah Street," 685,000 ", Jun 2019,0," 312,000 ", Apr 2007, 480 , Jul 2019, 284 ,,3,1,1,Geelong West
131,35 Ann Street," 845,000 ", May 2019,0," 592,500 ", Apr 2014, ,, 577  ,  181 ,3,2,0,Geelong West
132,150 Weller Street," 1,238,000 ", May 2019,0," 900,000 ", Sep 2013, 750 , Jun 2013, 561  ,  295 ,5,2,4,Geelong West
133,57 Preston Street," 680,000 ", May 2019,0," 370,000 ", Dec 2007, 395 , Dec 2017, 471  ,  130 ,3,1,2,Geelong West
134,103 Waratah Street," 530,000 ", May 2019,0," 70,000 ", Apr 1992, ,, 291 ,,2,1,1,Geelong West
135,7/131-133 Church Street," 265,000 ", May 2019,0," 205,000 ", Feb 2011, 230 , Feb 2016," 1,120 ",,0,0,0,Geelong West
136,82 Gertrude Street," 850,000 ", 25 May 2019,1," 587,500 ", Aug 2012, 330 , May 2008, 409  ,  131 ,3,2,1,Geelong West
137,7/131 Church Street," 265,000 ", May 2019,0," 205,000 ", Feb 2000, 230 , Feb 2016," 1,120 ",,0,0,0,Geelong West
138,233 Hope Street," 515,000 ", May 2019,0," 313,000 ", Nov 2009, 340 , Sep 2016, 146 ,,3,1,1,Geelong West
139,15 Trigg Street," 830,000 ", 18 May 2019,1," 374,000 ", Aug 2013, 360 , Sep 2013, 553  ,  133 ,4,2,3,Geelong West
140,32 George Street," 675,000 ", 11 May 2019,1, ,, 260 , Apr 2013, 611 ,,3,1,1,Geelong West
141,19 Gertrude Street," 620,000 ", May 2019,0," 282,000 ", Dec 2011, 260 , Jan 2015, 181  ,  95 ,3,1,1,Geelong West
142,4 Hector Street," 525,000 ", May 2019,0, ,, ,, 407 ,,3,1,2,Geelong West
143,13 Coquette Street," 660,000 ", May 2019,0," 360,000 ", Dec 2007, 440 , May 2019, 229  ,  93 ,2,1,0,Geelong West
144,1/72 Britannia Street," 434,000 ", 27 Apr 2019,1," 254,000 ", Jul 2008, 330 , Mar 2014, 187  ,  88 ,3,1,1,Geelong West
145,5/118 Isabella Street," 359,000 ", 27 Apr 2019,1," 63,000 ", Jun 1996, 350 , Jul 2019, 116 ,,0,0,0,Geelong West
146,3 Trigg Street," 628,000 ", 27 Apr 2019,1," 320,000 ", Aug 2010, 350 , Jun 2019, 733  ,  127 ,3,1,1,Geelong West
147,2/16 Collins Street," 710,000 ", Apr 2019,0," 695,000 ", Aug 2017, 485 , Jul 2016, 225 ,,3,2,2,Geelong West
148,20 Candover Street," 790,000 ", Apr 2019,0," 66,000 ", Jun 1999, ,, 443 ,,5,3,2,Geelong West
149,4/118 Isabella Street," 345,000 ", Apr 2019,0," 255,000 ", Nov 2012, 280 , Jun 2016, 115  ,  94 ,0,0,0,Geelong West
150,15 Hector Street," 501,000 ", 13 Apr 2019,1, ,, ,, 367 ,,2,1,1,Geelong West
151,93 Britannia Street," 676,000 ", 13 Apr 2019,1," 360,000 ", Sep 2011, 530 , May 2019, 410  ,  100 ,3,2,2,Geelong West
152,57 Lawton Avenue," 965,000 ", Apr 2019,0," 865,000 ", Sep 2016, ,, 404  ,  186 ,4,2,0,Geelong West
153,1/50 Autumn Street," 570,000 ", Apr 2019,0," 505,000 ", Dec 2016, 390 , Apr 2016, 168  ,  116 ,2,1,1,Geelong West
154,45 Coquette Street," 607,000 ", 26 Mar 2019,1," 434,000 ", Dec 2013, 550 , Apr 2019, 164  ,  107 ,3,2,2,Geelong West
155,4/40 Clonard Avenue," 258,000 ", Mar 2019,0," 212,000 ", Jun 2013, 220 , Mar 2017, 116 ,,0,0,0,Geelong West
156,40 Hope Street," 574,000 ", Mar 2019,0," 426,000 ", May 2014, ,, 308 ,,2,1,1,Geelong West
157,103 Autumn Street," 740,000 ", Mar 2019,0," 483,500 ", Jul 2012, 550 , Jun 2020, 399  ,  152 ,4,2,1,Geelong West
158,70 Shannon Avenue," 535,000 ", 16 Mar 2019,1," 300,000 ", Mar 2004, 370 , Jan 2015, 467 ,,3,1,1,Geelong West
159,26 Clarence Street," 970,000 ", 02 Mar 2019,1, ,, 450 , Jan 2014, 733 ,,4,1,1,Geelong West
160,36 Preston Street," 1,000,000 ", 02 Mar 2019,1," 250,000 ", Nov 2005, ,, 638 ,,3,2,2,Geelong West
161,11 Hector Street," 635,000 ", Feb 2019,0," 265,000 ", Nov 2006, ,, 380 ,,4,1,2,Geelong West
162,1/15 Isabella Street," 317,000 ", Feb 2019,0," 147,500 ", Feb 2000, 310 , Jul 2018, 73 ,,0,0,0,Geelong West
163,17 Hector Street," 445,000 ", Feb 2019,0," 78,850 ", Aug 1993, ,, 367 ,,3,1,1,Geelong West
164,6 Aberdeen Street," 1,000,000 ", 09 Feb 2019,1, ,, 260 , Jul 2020, 541 ,,12,2,1,Geelong West
165,16 Lawton Avenue," 1,350,000 ", 09 Feb 2019,1," 960,000 ", Feb 2015, 260 , Apr 2007, 405  ,  179 ,3,2,3,Geelong West
166,3 Tayler Street," 662,000 ", 02 Feb 2019,1, ,, ,, 473 ,,3,1,1,Geelong West
167,76 Isabella Street," 859,000 ", Jan 2019,0," 67,000 ", Mar 1987, ,, 919 ,,3,1,3,Geelong West
168,80 Albert Street," 1,200,000 ", Jan 2019,0," 640,000 ", Sep 2009, ,, 405 ,,4,3,3,Geelong West
169,3 Lupton Street," 507,000 ", Jan 2019,0," 383,000 ", Jul 2016, 310 , Sep 2015, 198  ,  675 ,2,1,1,Geelong West
170,62 Weller Street," 750,000 ", Jan 2019,0," 427,500 ", May 2013, ,, 298 ,,3,2,1,Geelong West
171,21 Hector Street," 700,000 ", Jan 2019,0," 450,000 ", Sep 2011, 550 , Jul 2015, 375  ,  160 ,3,2,2,Geelong West
172,101 Isabella Street," 700,000 ", Jan 2019,0," 385,000 ", Aug 2012, ,, 506  ,  117 ,3,1,1,Geelong West
173,13 Candover Street," 505,000 ", Dec 2018,0, ,, ,, 437 ,,3,1,1,Geelong West
174,8 Trigg Street," 631,750 ", Dec 2018,0," 324,000 ", Feb 2005, ,, 364 ,,3,2,2,Geelong West
175,10 Addis Street," 640,000 ", Dec 2018,0," 630,000 ", May 2017, 260 , Apr 2017, 272 ,,2,1,1,Geelong West
176,44 Trigg Street," 500,000 ", Dec 2018,0," 75,000 ", Oct 1997, ,, 540 ,,2,1,2,Geelong West
177,1/19 Candover Street," 260,000 ", Dec 2018,0," 193,000 ", Jan 2014, 190 , Dec 2016, 51  ,  51 ,1,1,1,Geelong West
178,10 Napier Street," 656,000 ", 15 Dec 2018,1," 170,000 ", Apr 2015, ,, 156 ,,2,2,1,Geelong West
179,47 French Street," 535,000 ", 15 Dec 2018,1," 302,000 ", Jun 2011, 470 , Jan 2019, 325  ,  95 ,3,1,1,Geelong West
180,24 Britannia Street," 721,000 ", 15 Dec 2018,1," 390,000 ", May 2015, 540 , Feb 2019, 421  ,  101 ,2,1,1,Geelong West
181,71 Albert Street," 600,000 ", 08 Dec 2018,1, ,, 420 , Jun 2019, 497 ,,4,1,3,Geelong West
182,9 Elizabeth Street," 540,000 ", 08 Dec 2018,1, ,, 270 , May 2015, 391 ,,3,1,1,Geelong West
183,97 Albert Street," 1,060,000 ", Dec 2018,0, ,, 545 , Jun 2012, 529 ,,5,2,1,Geelong West
184,26 Wellington Street," 1,050,000 ", Dec 2018,0," 450,000 ", Apr 2005, 510 , Apr 2016, 559  ,  205 ,5,2,2,Geelong West
185,26 Avon Street," 490,000 ", Dec 2018,0, ,, ,, 362 ,,3,1,0,Geelong West
186,85 Church Street," 927,500 ", Dec 2018,0," 298,000 ", Jun 2013, 650 , Jan 2019, 728  ,  180 ,3,1,3,Geelong West
187,66 Preston Street," 795,000 ", Dec 2018,0," 617,000 ", Jan 2015, 550 , Aug 2019, 446 ,,3,2,2,Geelong West
188,42 Weller Street," 457,500 ", Dec 2018,0, ,, ,, 318 ,,2,1,1,Geelong West
189,117 Autumn Street," 570,000 ", 01 Dec 2018,1, ,, ,, 343 ,,3,1,1,Geelong West
190,2/30 Spring Street," 452,500 ", Nov 2018,0," 118,000 ", Feb 2000, 350 , Oct 2018, 170 ,,2,1,1,Geelong West
191,27 Weller Street," 695,000 ", Nov 2018,0," 485,000 ", Nov 2014, 475 , Nov 2019, 305 ,,3,2,1,Geelong West
192,50 Preston Street," 821,000 ", Nov 2018,0," 263,000 ", Apr 2004, 370 , Jun 2017, 603  ,  105 ,3,1,2,Geelong West
193,10 Lupton Street," 725,000 ", 24 Nov 2018,1," 460,000 ", May 2013, ,, 370 ,,2,2,3,Geelong West
194,9 Preston Street," 561,000 ", Nov 2018,0," 365,000 ", Mar 2010, 470 , Feb 2020, 247 ,,3,1,1,Geelong West
195,16 Lupton Street," 980,000 ", Nov 2018,0, ,, ,, 408 ,,4,2,2,Geelong West
196,12 Isabella Street," 943,000 ", 17 Nov 2018,1," 93,000 ", Jul 1994, ,, 527 ,,4,2,0,Geelong West
197,1/166 Autumn Street," 360,000 ", 17 Nov 2018,1," 139,000 ", Sep 2002, 260 , Aug 2017, 208 ,,0,0,0,Geelong West
198,104 Clarence Street," 1,120,000 ", 17 Nov 2018,1," 282,500 ", Oct 2007, ,, 570  ,  175 ,4,2,2,Geelong West
199,2 Petrel Street," 640,000 ", Nov 2018,0," 123,000 ", Sep 2000, ,, 459  ,  135 ,3,1,4,Geelong West
200,1/89-91 Church Street," 392,500 ", Nov 2018,0," 72,000 ", Jan 1997, 325 , Mar 2016, 225 ,,0,0,0,Geelong West
201,41 Britannia Street," 770,000 ", Nov 2018,0," 449,000 ", Nov 2008, 450 , Sep 2016, 535  ,  121 ,4,2,1,Geelong West
202,236 Latrobe Terrace," 1,200,000 ", 02 Nov 2018,1," 710,000 ", Feb 2011, ,, 928 ,,4,2,0,Geelong West
203,41 Spring Street," 555,000 ", Nov 2018,0," 194,000 ", Mar 2001, 360 , Jun 2016, 134 ,,2,1,2,Geelong West
204,96 Gertrude Street," 830,000 ", 01 Nov 2018,1," 410,000 ", Aug 2007, ,, 409 ,,3,2,2,Geelong West
205,45 Catherine Street," 602,500 ", 27 Oct 2018,1," 530,000 ", Sep 2017, ,, 497 ,,3,1,1,Geelong West
206,63 Oconnell Street," 711,000 ", 27 Oct 2018,1," 357,500 ", Apr 2008, 400 , Dec 2015, 478 ,,3,2,2,Geelong West
207,18 Bendigo Street," 605,000 ", 27 Oct 2018,1," 431,000 ", May 2010, 370 , Jan 2018, 416  ,  102 ,3,1,1,Geelong West
208,2/30 Preston Street," 610,000 ", Oct 2018,0," 439,000 ", May 2011, 410 , Apr 2019, 287 ,,2,1,2,Geelong West
