Suburb,Year,Population
South Geelong,2012,"3,660"
South Geelong,2013,"3,667"
South Geelong,2014,"3,695"
South Geelong,2015,"3,680"
South Geelong,2016,"3,727"
South Geelong,2017,"3,758"
South Geelong,2018,"3,840"
South Geelong,2019,"3,813"
St Albans Park,2012,"5,000"
St Albans Park,2013,"4,931"
St Albans Park,2014,"4,920"
St Albans Park,2015,"4,919"
St Albans Park,2016,"4,931"
St Albans Park,2017,"4,936"
St Albans Park,2018,"4,949"
St Albans Park,2019,"5,059"
St Leonards,2012,"3,233"
St Leonards,2013,"3,343"
St Leonards,2014,"3,440"
St Leonards,2015,"3,534"
St Leonards,2016,"3,671"
St Leonards,2017,"3,777"
St Leonards,2018,"3,871"
St Leonards,2019,"3,961"
Warun Ponds,2012,"4,438"
Warun Ponds,2013,"4,628"
Warun Ponds,2014,"4,837"
Warun Ponds,2015,"5,066"
Warun Ponds,2016,"5,438"
Warun Ponds,2017,"5,614"
Warun Ponds,2018,"5,771"
Warun Ponds,2019,"5,880"
Whittingtons,2012,"4,104"
Whittingtons,2013,"4,117"
Whittingtons,2014,"4,028"
Whittingtons,2015,"3,965"
Whittingtons,2016,"3,953"
Whittingtons,2017,"3,956"
Whittingtons,2018,"3,928"
Whittingtons,2019,"3,949"
