,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb,Suburb_Code,Train Station,Bus Station,Hospitals,Schools,Restaurants,Shopping Center,Park,Sub_Lat,Sub_Long
15,614/148 Bellerine Street,750000.0,2020-06-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
16,2-4 Maud Street,595000.0,2020-06-01,0,145000.0,2002-02-01,,,290.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
17,205/146 Bellerine Street,540000.0,2020-06-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
18,71 Fitzroy Street,1050000.0,2020-05-07,1,748500.0,2014-10-01,550.0,2015-02-01,538.0,192.0,4,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
19,4/15 Mundy Street,437500.0,2020-04-01,0,240000.0,2009-10-01,295.0,2016-04-01,168.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
20,2205/2 Yarra Street,660000.0,2020-04-01,0,600000.0,2016-01-01,650.0,2019-05-01,2737.0,125.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
21,206 Myers Street,2155000.0,2020-03-01,0,233500.0,1993-11-01,,,919.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
22,13 Vincent Avenue,1235500.0,2020-03-01,0,730000.0,2014-08-01,,,564.0,,3,2,4,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
23,707/53 Mercer Street,1600000.0,2020-03-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
24,12 Richmond Crescent,1016999.0,2020-03-01,0,316000.0,2013-08-01,,,519.0,293.0,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
25,5 Lake Street,990000.0,2020-03-01,0,680000.0,2010-10-01,500.0,2009-02-01,332.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
26,408/146 Bellerine Street,661000.0,2020-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
27,4/17 The Esplanade,550000.0,2020-02-01,0,183880.0,2000-12-01,,,1046.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
28,56 Sydney Parade,615000.0,2020-02-22,1,385000.0,2013-09-01,450.0,2020-03-01,229.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
29,2/3 Kilgour Court,690000.0,2020-02-01,0,525000.0,2012-05-01,550.0,2018-12-01,218.0,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
30,203/8-10 McLarty Place,510000.0,2020-02-01,0,,,410.0,2016-11-01,565.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
31,2/4 Richmond Court,810000.0,2020-02-08,1,,,,,226.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
32,1/50 Eastern Beach Road,616000.0,2020-02-08,1,199000.0,1994-07-01,210.0,2010-02-01,1187.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
33,901/120 Brougham Street,2600000.0,2020-02-01,0,2250000.0,2010-08-01,,,934.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
34,10/141-143 Yarra Street,626000.0,2020-02-01,0,,,,,596.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
35,4 Brownbill Street,620000.0,2020-02-01,1,,,,,370.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
36,49 Mundy Street,750000.0,2020-02-01,1,225000.0,2001-05-01,400.0,2014-12-01,312.0,,3,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
37,508/53 Mercer Street,979500.0,2020-01-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
38,49 Fitzroy Street,491500.0,2019-12-01,0,,,,,406.0,,1,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
39,7/50 Eastern Beach Road,471000.0,2019-12-01,0,143000.0,1998-01-01,330.0,2017-03-01,1187.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
40,3 Storrer Street,615000.0,2019-12-07,1,90000.0,1994-10-01,,,303.0,100.0,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
41,9/4 Fitzroy Street,359000.0,2019-12-01,0,305000.0,2014-04-01,280.0,2015-03-01,799.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
42,209/146-148 Bellerine Street,442000.0,2019-11-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
43,1/4-10 Benson Street,456380.0,2019-11-01,0,,,,,140.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
44,3/154 Bellerine Street,299000.0,2019-11-01,0,250000.0,2016-11-01,280.0,2015-09-01,999.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
45,5 Little Kilgour Street,537000.0,2019-10-26,1,81000.0,1987-08-01,380.0,2019-11-01,307.0,,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
46,80 Keera Street,640000.0,2019-10-26,1,373200.0,2013-03-01,480.0,2019-11-01,696.0,124.0,3,1,4,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
47,38 Henry Street,800000.0,2019-10-12,1,241000.0,2001-08-01,390.0,2012-04-01,424.0,120.0,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
48,81 McKillop Street,740000.0,2019-10-12,1,405000.0,2010-03-01,,,532.0,92.0,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
49,2 Richmond Street,658000.0,2019-10-05,1,249000.0,2007-06-01,295.0,2015-04-01,539.0,,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
50,2305/2 Yarra Street,450000.0,2019-09-01,0,360000.0,2010-04-01,500.0,2018-01-01,2737.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
51,2506/2 Yarra Street,1800000.0,2019-09-01,0,1650000.0,2005-10-01,,,2737.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
52,304/8 Gheringhap Street,660000.0,2019-09-01,0,580000.0,2011-03-01,600.0,2018-11-01,774.0,140.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
53,29 Spring Street,620000.0,2019-09-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
54,217 Little Malop Street,847000.0,2019-08-24,1,,,460.0,2019-11-01,428.0,,2,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
55,5/15 Mundy Street,440000.0,2019-08-01,0,407000.0,2017-10-01,345.0,2013-10-01,159.0,75.0,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
56,1/11 York Street,800000.0,2019-08-01,0,602000.0,2014-03-01,580.0,2013-10-01,527.0,,3,3,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
57,126 Swanston Street,532000.0,2019-08-17,1,90000.0,1994-02-01,380.0,2019-11-01,331.0,,2,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
58,223 Bellerine Street,701500.0,2019-08-17,1,149950.0,1999-11-01,460.0,2019-11-01,238.0,116.0,3,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
59,8 Vincent Avenue,1050000.0,2019-08-16,1,624000.0,2006-10-01,,,552.0,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
60,9 Hamblings Lane,780000.0,2019-08-01,0,,,640.0,2019-05-01,,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
61,170 Yarra Street,850000.0,2019-07-01,0,730000.0,2016-04-01,,,658.0,,4,3,3,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
62,2/44 Myers Street,500000.0,2019-07-01,0,,,350.0,2017-05-01,48.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
63,4 Star Street,700000.0,2019-07-01,0,455000.0,2015-12-01,,,147.0,90.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
64,304/100 Western Beach Road,630000.0,2019-07-01,0,575000.0,2000-02-01,470.0,2018-10-01,992.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
65,6 Heaths Lane,525000.0,2019-07-01,0,275000.0,2009-03-01,,,65.0,,1,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
66,168 Yarra Street,905000.0,2019-07-01,0,486000.0,2005-07-01,540.0,2016-12-01,665.0,,5,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
67,14 Mckillop Street,700000.0,2019-07-01,1,300000.0,2008-05-01,,,593.0,,3,1,4,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
68,38 Bourke Crescent,485000.0,2019-06-29,1,260000.0,2007-11-01,290.0,2017-08-01,192.0,,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
69,46 Bourke Crescent,722500.0,2019-06-22,1,288000.0,2003-09-01,,,27.0,,3,2,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
70,205/16-18 The Esplanade South,460000.0,2019-06-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
71,8/155 Verner Street,291000.0,2019-06-01,0,132000.0,2006-11-01,250.0,2017-02-01,946.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
72,13 England Street,1100000.0,2019-06-01,0,635000.0,2006-03-01,,,120.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
73,19 The Esplanade South,720000.0,2019-05-01,0,,,650.0,2020-01-01,,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
74,205/110 Brougham Street,1130000.0,2019-05-01,0,830000.0,2007-04-01,850.0,2008-11-01,1233.0,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
75,404/100 Western Beach Road,520000.0,2019-05-01,0,461000.0,2012-10-01,500.0,2020-01-01,992.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
76,204/8-10 McLarty Place,460000.0,2019-05-01,0,450000.0,2015-07-01,470.0,2019-06-01,566.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
77,4/4 Mercer Street,636000.0,2019-05-04,1,450000.0,2010-07-01,450.0,2019-09-01,723.0,124.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
78,12B Western Beach Road,2380000.0,2019-04-13,1,305000.0,1998-12-01,,,318.0,282.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
79,220 Myers Street,535000.0,2019-04-06,1,350000.0,2011-10-01,400.0,2019-09-01,180.0,64.0,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
80,9/17a The Esplanade,599000.0,2019-03-01,0,,,380.0,2019-05-01,978.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
81,3/44 Myers Street,500000.0,2019-03-01,0,,,380.0,2019-03-01,48.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
82,21 Alexandra Avenue,805000.0,2019-03-01,0,,,320.0,2016-10-01,460.0,,3,2,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
83,8/4 Fitzroy Street,338600.0,2019-03-01,0,297000.0,2012-11-01,270.0,2018-06-01,799.0,,1,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
84,701/8 Gheringhap Street,430000.0,2019-03-01,0,380000.0,2013-12-01,,,776.0,75.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
85,4 Richmond Crescent,840000.0,2019-03-02,1,570000.0,2011-03-01,550.0,2018-03-01,642.0,170.0,4,2,3,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
86,2 Hope Street,680000.0,2019-03-01,0,80000.0,1996-04-01,430.0,2018-11-01,217.0,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
87,1104/44 Ryrie Street,685000.0,2019-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
88,1204/44 Ryrie Street,735000.0,2019-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
89,1303/44 Ryrie Street,785000.0,2019-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
90,1403/44 Ryrie Street,895000.0,2019-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
91,1101/44 Ryrie Street,1788950.0,2019-02-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
92,5/250 Malop Street,749000.0,2019-02-01,0,552000.0,2015-06-01,,,304.0,,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
93,1/96 Mercer Street,445000.0,2019-02-01,0,355000.0,2013-06-01,370.0,2019-02-01,716.0,82.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
94,101/8-10 McLarty Place,547500.0,2019-02-01,0,,,,,565.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
95,2/67 Sydney Parade,690000.0,2019-02-16,1,495000.0,2011-02-01,450.0,2014-11-01,210.0,155.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
96,1/17 Brownbill Street,520000.0,2019-02-01,0,325000.0,2008-06-01,,,298.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
97,3/242 Ryrie Street,850000.0,2019-02-01,0,195000.0,2001-12-01,,,174.0,,3,3,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
98,18-20 Cavendish Street,599900.0,2019-02-01,0,,,,,2032.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
99,17 England Street,1345000.0,2019-02-01,0,1300000.0,2017-07-01,900.0,2019-05-01,119.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
100,14 Ryrie Street,725000.0,2019-02-01,0,595000.0,2014-06-01,,,548.0,175.0,4,1,3,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
101,297A Malop (cnr Pevensey Crs) Street,495000.0,2019-01-01,0,,,,,,,2,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
102,370 Ryrie Street,837000.0,2019-01-01,0,77000.0,1987-04-01,,,506.0,,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
103,15 Adams Place,633000.0,2019-01-01,0,545000.0,2011-07-01,460.0,2017-10-01,182.0,141.0,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
104,82 Fitzroy Street,785000.0,2018-12-01,0,575000.0,2014-02-01,400.0,2010-02-01,132.0,126.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
105,7/2 Pevensey Street,395000.0,2018-12-01,0,232000.0,2006-05-01,270.0,2018-08-01,740.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
106,198 Garden Street,640000.0,2018-12-01,0,120000.0,2000-03-01,,,554.0,,3,1,5,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
107,7/44 Myers Street,520000.0,2018-12-01,0,,,450.0,2019-02-01,48.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
108,16 Henry Street,586000.0,2018-12-15,1,,,,,421.0,,2,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
109,303/64 Eastern Beach Road,1100000.0,2018-12-15,1,,,620.0,2019-02-01,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
110,303/64-66 Eastern Beach Road,1100000.0,2018-12-15,1,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
111,103 Swanston Street,888000.0,2018-12-01,0,375000.0,2005-01-01,,,456.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
112,6 Richmond Street,722500.0,2018-12-15,1,558000.0,2014-10-01,,,523.0,121.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
113,73 Swanston Street,637000.0,2018-12-01,0,420000.0,2012-11-01,395.0,2016-11-01,427.0,139.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
114,301/120 Brougham Street,830000.0,2018-12-01,0,650000.0,2012-04-01,590.0,2012-07-01,934.0,135.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
115,8/73-75 Maud Street,467500.0,2018-12-01,1,230000.0,2006-04-01,300.0,2016-10-01,218.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
116,8/73 Maud Street,467500.0,2018-12-01,1,230000.0,2006-04-01,,,218.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
117,6/44 Myers Street,512500.0,2018-11-01,0,,,450.0,2018-12-01,48.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
118,19 Pevensey Crescent,1890000.0,2018-11-01,0,825000.0,2003-05-01,850.0,2019-01-01,1124.0,,4,3,3,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
119,2/79 McKillop Street,789000.0,2018-11-01,0,660000.0,2016-01-01,475.0,2009-04-01,239.0,211.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
120,12 Western Beach Road,1190000.0,2018-11-01,0,825000.0,2003-12-01,750.0,2020-03-01,210.0,,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
121,5/35 Mundy Street,430000.0,2018-11-01,0,215000.0,2009-04-01,280.0,2017-04-01,184.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
122,301/8 Gheringhap Street,390000.0,2018-11-01,0,358000.0,2011-05-01,320.0,2017-08-01,774.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
123,85 Maud Street,1520000.0,2018-11-01,0,116000.0,1991-12-01,,,447.0,,5,2,4,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
124,72 Bellerine Street,1950000.0,2018-11-17,1,,,,,751.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
125,125 Mckillop Street,780000.0,2018-11-17,1,60000.0,1996-12-01,,,512.0,,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
126,1-6/72 Bellerine Street,1950000.0,2018-11-17,1,1510000.0,2014-12-01,300.0,2016-10-01,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
127,193 Kilgour Street,907000.0,2018-11-17,1,480000.0,2010-10-01,600.0,2019-07-01,480.0,165.0,4,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
128,112/6-8 Eastern Beach Road,412000.0,2018-11-01,0,,,360.0,2010-12-01,,,1,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
129,2/27 Richmond Crescent,555000.0,2018-11-01,0,442500.0,2012-12-01,455.0,2019-01-01,226.0,,2,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
130,6/17 The Esplanade,543000.0,2018-11-01,0,375000.0,2013-11-01,300.0,2013-10-01,1046.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
131,213 Myers Street,520000.0,2018-11-01,0,362500.0,2010-06-01,420.0,2020-01-01,269.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
132,22/61 Brougham Street,1400000.0,2018-10-01,0,725000.0,1998-12-01,,,829.0,174.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
133,6 Davison Place,710000.0,2018-10-01,0,195000.0,2010-08-01,,,166.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
134,19/61 Brougham Street,935000.0,2018-10-27,1,330000.0,1996-09-01,500.0,2005-03-01,829.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
135,109 Maud Street,670000.0,2018-10-01,0,570000.0,2016-12-01,410.0,2018-11-01,412.0,,3,1,3,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
136,19 Board Place,815000.0,2018-10-13,1,440000.0,2009-05-01,,,434.0,,3,1,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
137,77 Little Myers Street,635000.0,2018-10-13,1,84000.0,1997-08-01,,,161.0,,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
138,4/50 Eastern Beach Road,499000.0,2018-10-01,0,312000.0,2011-12-01,365.0,2017-01-01,1187.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
139,135 Verner Street,990000.0,2018-10-01,0,521000.0,2016-09-01,310.0,2012-02-01,542.0,,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
140,403/120 Brougham Street,975000.0,2018-10-01,0,750000.0,2013-05-01,,,934.0,123.0,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
141,371 Ryrie Street,1637500.0,2018-10-01,0,1450000.0,2015-03-01,600.0,2015-07-01,1154.0,267.0,4,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
142,364 Ryrie Street,815000.0,2018-10-01,0,400000.0,2006-09-01,510.0,2019-01-01,169.0,,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
143,13 Sydney Avenue,1300000.0,2018-10-01,0,682500.0,2011-06-01,,,574.0,196.0,3,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
144,1 Pevensey Crescent,1475000.0,2018-09-01,0,710000.0,2004-02-01,,,455.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
145,703/8 Gheringhap Street,480000.0,2018-09-01,0,415000.0,2014-11-01,425.0,2016-04-01,774.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
146,100 Swanston Street,660000.0,2018-09-01,0,390500.0,2012-11-01,250.0,2007-09-01,324.0,119.0,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
147,14 Brownbill Street,790000.0,2018-09-15,1,79000.0,1988-09-01,575.0,2020-03-01,465.0,,2,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
148,172 Bellerine Street,670000.0,2018-09-15,1,422000.0,2012-03-01,450.0,2019-01-01,287.0,,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
149,1/140 Gheringhap Street,600000.0,2018-09-01,0,432000.0,2007-06-01,,,119.0,,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
150,24 Park Street,1120000.0,2018-09-08,1,,,320.0,2020-07-01,767.0,,4,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
151,5 Vincent Avenue,1260000.0,2018-09-01,0,1150000.0,2017-02-01,,,562.0,,4,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
152,160 Gheringhap Street,595000.0,2018-09-01,1,340000.0,2009-12-01,340.0,2011-01-01,221.0,127.0,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
153,504/8 Gheringhap Street,720000.0,2018-08-01,0,583000.0,2014-04-01,600.0,2018-11-01,774.0,116.0,3,2,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
154,304/8 Mclarty Place,555000.0,2018-08-01,0,420000.0,2014-11-01,,,565.0,86.0,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
155,6/141 Yarra Street,520000.0,2018-08-01,0,510000.0,2012-08-01,430.0,2015-03-01,323.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
156,102/64-66 Eastern Beach Road,980000.0,2018-08-25,1,771000.0,2008-11-01,495.0,2018-01-01,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
157,102/64 Eastern Beach Road,980000.0,2018-08-25,1,771000.0,2008-11-01,495.0,2018-02-01,2538.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
