,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
611,3402355.0,T20130015002,ABS to receive accident,Finished,20/7/2013,12.00.00,No,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Unk.,No,Not at intersection,Other injury accident,60 km/hr,No,263988.0,144.33557,-38.14472,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2441754.482,2372756.905,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
629,3402373.0,T20130015033,ABS to receive accident,Finished,20/7/2013,01.00.00,Yes,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,46387.0,144.35263,-38.14741,Intersection,GEELONG,SOUTH WESTERN REGION,2443251.231,2372468.203,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,"A,B",Arterial Highway,Arterial Highway,Divided,"Div,Undiv",Country
637,3402381.0,T20130015058,ABS to receive accident,Finished,21/7/2013,11.43.00,No,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,T intersection,Serious injury accident,50 km/hr,No,49866.0,144.3371,-38.13698,Intersection,GEELONG,SOUTH WESTERN REGION,2441881.776,2373616.635,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
685,3402429.0,T20130015234,ABS to receive accident,Finished,23/7/2013,22.40.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),Yes,Dark Street lights unknown,Yes,T intersection,Other injury accident,50 km/hr,No,44438.0,144.33694,-38.13777,Intersection,GEELONG,SOUTH WESTERN REGION,2441868.456,2373529.1380000003,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
689,3402433.0,T20130015243,ABS to receive accident,Finished,24/7/2013,04.00.00,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Cross intersection,Serious injury accident,100 km/hr,Yes,50267.0,144.54192,-38.226079999999996,Intersection,GEELONG,SOUTH WESTERN REGION,2459886.535,2363832.691,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,1.0,0.0,1.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,B,"B,C",Arterial Highway,"Arterial Highway,Arterial Other",Divided,Div,Country
860,3402604.0,T20130015783,ABS to receive accident,Finished,31/7/2013,08.50.00,No,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,264302.0,144.48588999999998,-38.17753,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2454951.103,2369196.568,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Divided,Div,Country
945,3402689.0,T20130015633,ABS to receive accident,Finished,29/7/2013,09.35.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,T intersection,Serious injury accident,70 km/hr,No,252842.0,144.35263,-38.12314,Intersection,GEELONG,SOUTH WESTERN REGION,2443233.115,2375163.124,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,1.0,0.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1097,3402841.0,T20130016141,ABS to receive accident,Finished,5/8/2013,15.00.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Other injury accident,60 km/hr,Yes,36681.0,144.33747,-38.135,Intersection,GEELONG,SOUTH WESTERN REGION,2441913.195,2373836.92,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
1117,3402861.0,T20130016202,ABS to receive accident,Finished,30/7/2013,15.29.00,No,Collision with a fixed object,Tuesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,264068.0,144.31644,-38.13751,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2440071.261,2373545.4359999998,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,1.0,0.0,1.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
1259,3403003.0,T20130016679,ABS to receive accident,Finished,13/8/2013,14.20.00,No,Collision with vehicle,Tuesday,RIGHT REAR.,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,262747.0,144.39301,-38.04126,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2446716.545,2384274.511,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
1293,3403037.0,T20130016609,ABS to receive accident,Finished,12/8/2013,15.25.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262604.0,144.34283,-38.11377,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2442366.37,2376196.913,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No,0.0,1.0,0.0,1.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
1316,3403060.0,T20130016449,ABS to receive accident,Finished,9/8/2013,18.15.00,Yes,Collision with vehicle,Friday,RIGHT REAR.,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,262661.0,144.56718999999998,-38.17587,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2462073.885,2369416.425,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,2.0,0.0,2.0,0.0,0.0,SMALL_CITIES,SMALL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
1350,3403094.0,T20130016867,ABS to receive accident,Finished,16/8/2013,06.30.00,No,Collision with vehicle,Friday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Other injury accident,70 km/hr,No,55889.0,144.3936,-38.15922,Intersection,GEELONG,SOUTH WESTERN REGION,2446851.586,2371181.413,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Country
1355,3403099.0,T20130016691,ABS to receive accident,Finished,13/8/2013,16.45.00,No,Collision with vehicle,Tuesday,OTHER ADJACENT (INTERSECTIONS ONLY),Yes,Day,Yes,Cross intersection,Serious injury accident,100 km/hr,No,50124.0,144.4536,-38.17374,Intersection,GEELONG,SOUTH WESTERN REGION,2452119.4269999997,2369601.887,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,0.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Country
1403,3403147.0,T20130016793,ABS to receive accident,Finished,15/8/2013,08.56.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,262978.0,144.38241000000002,-38.06438,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2445802.403,2381702.222,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Divided,Div,Country
1509,3403253.0,T20130016874,ABS to receive accident,Finished,16/8/2013,09.00.00,No,Collision with vehicle,Friday,REAR END(VEHICLES IN SAME LANE),No,Unk.,No,T intersection,Other injury accident,Not known,No,44443.0,144.35368,-38.11954,Intersection,GEELONG,SOUTH WESTERN REGION,2443322.235,2375562.804,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,3.0,0.0,3.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1587,3403331.0,T20130019479,ABS to receive accident,Finished,20/9/2013,20.45.00,Yes,Collision with vehicle,Friday,REAR END(VEHICLES IN SAME LANE),Yes,Dark Street lights on,Yes,Cross intersection,Other injury accident,70 km/hr,No,50099.0,144.39146000000002,-38.17048,Intersection,GEELONG,SOUTH WESTERN REGION,2446671.894,2369930.32,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1650,3403394.0,T20130019532,ABS to receive accident,Finished,22/9/2013,11.30.00,No,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,29938.0,144.35637,-38.091440000000006,Intersection,GEELONG,SOUTH WESTERN REGION,2443537.115,2378684.089,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No,0.0,1.0,0.0,1.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1669,3403413.0,T20130020375,ABS to receive accident,Finished,2/10/2013,19.00.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,15435.0,144.34241,-38.19567,Intersection,GEELONG,SOUTH WESTERN REGION,2442392.544,2367105.562,4.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,0.0,4.0,0.0,4.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1714,3403458.0,T20130020010,ABS to receive accident,Finished,29/9/2013,04.40.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,50 km/hr,No,29948.0,144.35791,-38.15343,Intersection,GEELONG,SOUTH WESTERN REGION,2443718.767,2371804.107,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country
1776,3403520.0,T20130020437,ABS to receive accident,Finished,3/10/2013,16.16.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,54464.0,144.33407,-38.09758,Intersection,GEELONG,SOUTH WESTERN REGION,2441586.078,2377988.423,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
1846,3403590.0,T20130019604,ABS to receive accident,Finished,21/9/2013,14.40.00,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,No,Cross intersection,Other injury accident,70 km/hr,No,223827.0,144.3187,-38.19689,Intersection,GEELONG,SOUTH WESTERN REGION,2440316.537,2366955.405,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,0.0,2.0,0.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Country
1889,3403633.0,T20130019218,ABS to receive accident,Finished,18/9/2013,10.20.00,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Other injury accident,90 km/hr,Yes,264218.0,144.58912,-38.15445,Intersection,GEELONG,SOUTH WESTERN REGION,2463985.727,2371802.337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,1.0,0.0,1.0,0.0,0.0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
1912,3403656.0,T20130020093,ABS to receive accident,Finished,30/9/2013,09.10.00,No,Vehicle overturned (no collision),Monday,OFF CARRIAGEWAY TO RIGHT,No,Day,Yes,T intersection,Serious injury accident,70 km/hr,Yes,45881.0,144.35116000000002,-38.13341,Intersection,GEELONG,SOUTH WESTERN REGION,2443111.7569999998,2374022.119,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,0.0,0.0,1.0,0.0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Divided,Div,Country
